epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.108,1.09784,1.28065,1.31302,0.61004,0.50487,0.54352,0.3428,1.38324,1.4694,1.47981,0.00331683,0.00331683,0.0701485
2,653.119,1.05569,1.204,1.27867,0.57295,0.53289,0.53959,0.33513,1.46582,1.44664,1.52924,0.00651849,0.00651849,0.0400168
3,969.841,1.13961,1.27481,1.32069,0.60405,0.49533,0.5325,0.31666,1.47646,1.50619,1.55841,0.00958815,0.00958815,0.00975317
4,1308.64,1.26897,1.43426,1.39734,0.61543,0.48914,0.51385,0.29531,1.46293,1.55731,1.51532,0.009406,0.009406,0.009406
5,1637.24,1.29938,1.45749,1.41681,0.55439,0.47307,0.50378,0.30379,1.51179,1.60151,1.55238,0.009208,0.009208,0.009208
6,1974.17,1.30826,1.47957,1.43193,0.65362,0.43365,0.49406,0.30374,1.43211,1.54803,1.51247,0.00901,0.00901,0.00901
7,2297.54,1.30929,1.46141,1.42064,0.60465,0.47371,0.50494,0.3113,1.45606,1.53306,1.52086,0.008812,0.008812,0.008812
8,2601.24,1.32208,1.50537,1.44413,0.61017,0.46941,0.49429,0.29443,1.47836,1.56237,1.5656,0.008614,0.008614,0.008614
9,2916.95,1.31617,1.47058,1.43892,0.55174,0.48653,0.50105,0.30703,1.44328,1.52025,1.52234,0.008416,0.008416,0.008416
10,3219.64,1.29444,1.47447,1.42913,0.60425,0.45689,0.49924,0.30585,1.4517,1.49824,1.52842,0.008218,0.008218,0.008218
11,3537.13,1.29101,1.43654,1.40701,0.58936,0.45872,0.51351,0.29287,1.4733,1.55424,1.52881,0.00802,0.00802,0.00802
