epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,527.484,1.61138,3.34402,1.66128,0.9085,0.15248,0.20567,0.12295,1.52883,2.90847,1.552,0.00330065,0.00330065,0.0702941
2,947.451,1.57637,2.5257,1.57992,0.65442,0.23187,0.25667,0.14712,1.65122,2.36631,1.74864,0.00650263,0.00650263,0.0401628
3,1373.9,1.57705,2.09196,1.58978,0.25007,0.31043,0.27382,0.13564,1.66404,2.22921,1.71204,0.00957261,0.00957261,0.00989941
4,1852.57,1.5598,2.00879,1.59958,0.50824,0.35668,0.32205,0.18988,1.59192,2.12797,1.63203,0.009406,0.009406,0.009406
5,2180.85,1.57015,1.94037,1.60214,0.5765,0.33222,0.33072,0.1747,1.60271,2.09935,1.71692,0.009208,0.009208,0.009208
6,2503.38,1.54019,1.92301,1.5894,0.36346,0.35776,0.35146,0.19588,1.59181,2.04591,1.66451,0.00901,0.00901,0.00901
7,2826.67,1.5147,1.85782,1.56723,0.47662,0.38988,0.40995,0.23467,1.57227,1.87683,1.63189,0.008812,0.008812,0.008812
8,3140.53,1.49515,1.82643,1.55242,0.36661,0.36751,0.33937,0.18126,1.57276,1.91898,1.59411,0.008614,0.008614,0.008614
9,3473.86,1.48236,1.79367,1.55216,0.69425,0.35038,0.41896,0.23965,1.56927,1.92477,1.65801,0.008416,0.008416,0.008416
10,3784.81,1.47497,1.78093,1.55446,0.46485,0.41369,0.44575,0.25495,1.53698,1.81484,1.64581,0.008218,0.008218,0.008218
11,4096.08,1.45461,1.74678,1.53397,0.41647,0.47162,0.45729,0.27635,1.43936,1.77881,1.51498,0.00802,0.00802,0.00802
12,4420.58,1.45443,1.74517,1.52841,0.4441,0.46869,0.44452,0.25472,1.46991,1.74292,1.57162,0.007822,0.007822,0.007822
13,4740.39,1.42404,1.74311,1.53206,0.49591,0.42403,0.45503,0.26368,1.48926,1.72242,1.55796,0.007624,0.007624,0.007624
14,5050.51,1.40681,1.69496,1.50476,0.46237,0.43608,0.45877,0.25535,1.53127,1.79839,1.5847,0.007426,0.007426,0.007426
15,5401.46,1.40006,1.6668,1.4919,0.5381,0.44688,0.45999,0.27322,1.51723,1.73441,1.59191,0.007228,0.007228,0.007228
16,5712.61,1.36981,1.64933,1.4884,0.49986,0.4346,0.48646,0.29422,1.46832,1.66246,1.55136,0.00703,0.00703,0.00703
17,6028.49,1.37254,1.61765,1.47811,0.49687,0.44628,0.4678,0.28066,1.46397,1.72036,1.54325,0.006832,0.006832,0.006832
18,6337.48,1.37715,1.60068,1.47712,0.56031,0.48283,0.49349,0.29526,1.43345,1.61491,1.52847,0.006634,0.006634,0.006634
19,6653.4,1.34506,1.5927,1.47414,0.52522,0.49292,0.49518,0.29281,1.4602,1.68716,1.56401,0.006436,0.006436,0.006436
